Link,# Bugs
https://github.com/pytorch/pytorch/issues/51933,1
https://github.com/pytorch/pytorch/issues/53466,1
https://github.com/pytorch/pytorch/issues/54319,1
https://github.com/pytorch/pytorch/issues/54320,1
https://github.com/pytorch/pytorch/issues/55356,1
https://github.com/pytorch/pytorch/issues/55360,1
https://github.com/pytorch/pytorch/issues/56224,1
https://github.com/pytorch/pytorch/issues/56263,1
https://github.com/pytorch/pytorch/issues/49890,6
https://github.com/pytorch/pytorch/issues/55359,1
https://github.com/pytorch/pytorch/issues/55381,1
https://github.com/pytorch/pytorch/issues/56246,1
https://github.com/pytorch/pytorch/issues/56328,1
https://github.com/pytorch/pytorch/issues/56330,1
https://github.com/pytorch/pytorch/issues/65447,1
https://github.com/pytorch/pytorch/issues/65520,1
https://github.com/pytorch/pytorch/issues/66751,1
https://github.com/pytorch/pytorch/issues/66872,1
https://github.com/pytorch/pytorch/issues/66750,1
https://github.com/pytorch/pytorch/issues/65399,1
https://github.com/pytorch/pytorch/issues/68727,1
https://github.com/pytorch/pytorch/issues/66868,1
https://github.com/pytorch/pytorch/issues/70489,1
https://github.com/tensorflow/tensorflow/issues/48470,4
https://github.com/tensorflow/tensorflow/issues/48470,3
https://github.com/tensorflow/tensorflow/issues/48467,1
https://github.com/tensorflow/tensorflow/issues/48469,1
https://github.com/tensorflow/tensorflow/issues/48481,1
https://github.com/tensorflow/tensorflow/issues/48477,1
https://github.com/tensorflow/tensorflow/issues/48466,1
https://github.com/tensorflow/tensorflow/issues/48589,1
https://github.com/tensorflow/tensorflow/issues/51618,1
https://github.com/tensorflow/tensorflow/issues/51624,1
https://github.com/tensorflow/tensorflow/issues/51625,1
https://github.com/tensorflow/tensorflow/issues/51936,2
https://github.com/tensorflow/tensorflow/issues/52063,1
https://github.com/tensorflow/tensorflow/issues/53300,1
https://github.com/tensorflow/tensorflow/issues/51908,1
Total,49
